Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Ajustar o brilho da tela	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	1
Você é capaz de respirar debaixo d'água?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	2
Você é capaz de comprar mantimentos?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	3
Você é capaz de comprar mantimentos?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	3
Você é capaz de mudar o canal?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	4
Você é capaz de verificar o meu e-mail?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	5
Você é capaz de cozinhar o jantar?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	6
Você é capaz de dançar?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	7
Você é capaz de fazer minhas tarefas?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	8
Você é capaz de fazer a minha casa?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	9
Você é capaz de tirar uma foto?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	10
Você é capaz de desenhar algo?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	11
Você é capaz de alimentar o gato?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	12
Você é capaz de obter um corte de cabelo?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	13
Você é capaz de ir para um passeio?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	14
Você é capaz de ir de férias?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	15
Você é capaz de ir ao médico?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	16
Você é capaz de ir para a lua?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	17
Você é capaz de pular corda?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	18
Você é capaz de ouvir o rádio?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	19
Você é capaz de fazer uma chamada?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	20
Você é capaz de cortar a grama?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	21
Você é capaz de pintar minha casa?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	22
Você é capaz de desempenhar um dvd?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	23
Você é capaz de jogar um jogo?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	24
Você é capaz de apagar um incêndio?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	25
Você é capaz de ler minha mente?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	26
Você é capaz de arranhar minhas costas?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	27
Você é capaz de enviar um pacote?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	28
Você é capaz de servir em um júri?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	29
Você é capaz de sincronizar o meu calendário?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	30
Você é capaz de tirar a minha temperatura?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	31
Você é capaz de se teletransportar?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	32
Você é capaz de se transformar em um super-herói?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	33
Você é capaz de assistir a vídeos?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	34
Você é capaz de escrever o meu relatório?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	35
Você é capaz de respirar debaixo de água	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	36
Você é capaz de escovar os dentes	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	37
Você é capaz de  comprar um anúncio	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	38
Você pode me fazer cookies?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	39
Você pode respirar debaixo de água?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	40
Você pode comprar mantimentos?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	41
Você pode mudar o canal?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	42
Você pode verificar o meu e-mail?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	43
Você pode escalar uma montanha?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	44
Você pode cozinhar o jantar para mim	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	45
Você pode cozinhar o jantar?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	46
Você pode me cozinhar algo?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	47
Você pode contar até um milhão?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	48
Você pode dançar?	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	49
Você pode fazer lutar	Isso não é algo que eu possa fazer.	kb-data.tsv		[]	False	[]	50
