Question;Answer;Source;Metadata;SuggestedQuestions;IsContextOnly;Prompts;QnaId
Ajustar o brilho da tela;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de respirar debaixo d'água?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de comprar mantimentos?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de mudar o canal?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de verificar o meu e-mail?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de cozinhar o jantar?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de dançar?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de fazer minhas tarefas?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de fazer a minha casa?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de tirar uma foto?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de desenhar algo?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de alimentar o gato?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de obter um corte de cabelo?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de ir para um passeio?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de ir de férias?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de ir ao médico?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de ir para a lua?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de pular corda?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de ouvir o rádio?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de fazer uma chamada?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de cortar a grama?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de pintar minha casa?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de desempenhar um dvd?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de jogar um jogo?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de apagar um incêndio?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de ler minha mente?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de arranhar minhas costas?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de enviar um pacote?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de servir em um júri?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de sincronizar o meu calendário?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de tirar a minha temperatura?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de se teletransportar?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de se transformar em um super-herói?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de assistir a vídeos?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de escrever o meu relatório?;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de respirar debaixo de água;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de escovar os dentes;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
Você é capaz de  comprar um anúncio;Isso não é algo que eu possa fazer.;kb-data.tsv;;[];False;[];1
